Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-2400.813	-2476.859	76.04681	0.9664222	1.024725	0.3640153	0.614802	0.385198	3.225437
6	-2397.918	-2474.832	76.91352	0.9972829	0.6621143	0.3640153	0.614802	0.385198	2.937721
12	-2398.922	-2476.72	77.79798	1.247485	0.6621143	0.3560336	0.704467	0.295533	2.243942
18	-2399.089	-2476.01	76.92152	1.216352	1.239445	0.5182405	0.704467	0.295533	2.243942
24	-2395.336	-2473.204	77.86854	1.257749	0.8434155	0.5182405	0.659157	0.340843	1.84555
30	-2397.417	-2474.717	77.29976	1.296389	0.8434155	0.417762	0.651018	0.348982	2.310011
36	-2405.529	-2483.147	77.61846	1.233139	0.8434155	0.417762	0.677379	0.322621	2.145299
42	-2411.044	-2488.833	77.78906	1.759844	0.9097218	0.8651872	0.746336	0.253664	1.115243
48	-2412.675	-2489.975	77.29912	1.759844	1.202733	1.007197	0.746336	0.253664	1.167061
54	-2412.984	-2489.459	76.47523	1.268703	0.9916862	0.8849618	0.75509	0.24491	2.333345
60	-2400.207	-2477.425	77.21818	1.176122	0.9916862	0.3814824	0.569627	0.430373	2.382135
66	-2409.128	-2486.127	76.99919	0.9502831	0.906831	0.3814824	0.679231	0.320769	2.713876
72	-2402.15	-2478.416	76.26607	0.9895855	0.906831	0.381184	0.67182	0.32818	3.132863
78	-2397.285	-2473.657	76.37238	1.047586	1.001072	0.2619373	0.753041	0.246959	3.13592
84	-2397.542	-2474.081	76.53926	0.8972038	0.7683989	0.4275206	0.772398	0.227602	3.066483
90	-2389.178	-2465.871	76.69258	1.183527	0.9735265	0.3561532	0.743054	0.256946	2.747578
96	-2390.794	-2468.388	77.59439	1.248084	0.9735265	0.3055097	0.716588	0.283412	2.211232
102	-2399.489	-2478.05	78.56149	1.423105	0.6559467	0.4289131	0.626802	0.373198	1.508899
108	-2399.866	-2477.616	77.74994	1.311283	0.8686312	0.4524643	0.674841	0.325159	1.945984
114	-2392.155	-2470.581	78.42627	1.436153	0.9043887	0.4524643	0.674841	0.325159	1.338839
