Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-2390.448	-2468.04	77.59289	1.237612	0.9147743	0.2845797	0.65067	0.34933	2.290059
6	-2403.756	-2481.351	77.59452	1.29869	0.882372	0.3653424	0.76316	0.23684	2.15668
12	-2417.918	-2494.119	76.20019	3.042848	1.504875	0.5088545	0.783285	0.216715	0.116852
18	-2407.897	-2484.034	76.13694	3.01847	1.693503	0.3862059	0.739606	0.260394	0.09359409
24	-2412.978	-2488.869	75.89117	0.9025635	0.9962278	0.4664871	0.65063	0.34937	3.257784
30	-2413.738	-2490.48	76.74145	3.020698	1.07993	0.4345803	0.597818	0.402182	0.1230251
36	-2416.234	-2492.362	76.12806	3.048126	1.523429	0.5677086	0.675304	0.324696	0.1230251
42	-2404.687	-2481.339	76.65215	1.056978	0.7133175	0.4221002	0.627608	0.372392	2.950239
48	-2404.072	-2479.834	75.76282	0.9104315	0.7133175	0.3999635	0.613467	0.386533	3.586812
54	-2400.711	-2477.951	77.23986	1.004411	0.7320865	0.3999635	0.680898	0.319102	2.63522
60	-2407.726	-2484.308	76.5815	3.108681	0.9982302	0.4627873	0.771563	0.228437	0.107878
66	-2409.843	-2486.392	76.54868	3.108681	0.9131562	0.4627873	0.782828	0.217172	0.09274761
72	-2401.743	-2479.04	77.29709	3.108681	0.6076623	0.2873566	0.690852	0.309148	0.09444526
78	-2406.607	-2484.175	77.56749	3.108681	0.4411365	0.2699728	0.701015	0.298985	0.08996687
84	-2400.985	-2478.284	77.29929	3.040729	0.7343759	0.2699728	0.714022	0.285978	0.1020313
90	-2405.701	-2481.425	75.72325	3.040729	1.963459	0.521938	0.785556	0.214444	0.09588102
96	-2403.75	-2479.87	76.11961	3.040696	1.501891	0.521938	0.651921	0.348079	0.1076336
102	-2408.852	-2484.662	75.81004	3.109624	1.766768	0.521938	0.671756	0.328244	0.09998723
108	-2405.735	-2482.535	76.80059	3.020028	1.135907	0.3486812	0.671756	0.328244	0.1140237
114	-2414.048	-2492.45	78.40175	1.706926	1.219697	0.347945	0.670377	0.329623	1.038115
120	-2415.525	-2494.063	78.53843	1.610132	1.319151	0.292951	0.66525	0.33475	1.038115
126	-2411.736	-2490.084	78.34737	1.559465	1.164028	0.3081825	0.622889	0.377111	1.331673
132	-2410.608	-2488.325	77.71732	2.679395	0.8024409	0.3798948	0.624498	0.375502	0.1724026
138	-2404.447	-2482.069	77.62203	2.679395	0.8783003	0.3798948	0.618275	0.381725	0.1700808
144	-2404.061	-2481.101	77.03923	1.113057	1.025863	0.2491254	0.582976	0.417024	2.698984
150	-2405.178	-2481.96	76.7813	0.9423757	1.025863	0.2399751	0.582976	0.417024	2.97391
156	-2401.354	-2478.388	77.03412	0.9596842	0.7346631	0.3076206	0.706996	0.293004	2.904329
162	-2400.531	-2476.994	76.46358	1.162474	1.101391	0.5801412	0.803606	0.196394	2.583756
168	-2397.502	-2474.772	77.26973	1.170189	1.241126	0.3412218	0.696846	0.303154	2.259319
174	-2404.148	-2481.576	77.42801	1.108811	1.032483	0.3651665	0.718644	0.281356	2.286681
180	-2396.875	-2474.046	77.17147	1.158153	0.9722171	0.3609057	0.67294	0.32706	2.461603
186	-2398.137	-2475.2	77.06307	0.9716836	0.9802775	0.3609057	0.721513	0.278487	2.639903
192	-2395.649	-2473.248	77.59872	1.045473	0.6513357	0.4651924	0.736672	0.263328	2.37708
198	-2400.604	-2476.481	75.87767	0.7808701	0.8867505	0.3562649	0.747985	0.252015	3.526919
204	-2392.363	-2468.01	75.64616	0.8809348	0.8075333	0.4203784	0.685406	0.314594	3.582141
210	-2398.998	-2475.194	76.19606	0.9684094	0.873565	0.4482991	0.591935	0.408065	3.133522
216	-2403.646	-2480.105	76.45849	1.049686	0.9894325	0.4482991	0.628452	0.371548	2.853775
222	-2417.771	-2494.212	76.44049	1.08543	0.9894325	0.4890848	0.693194	0.306806	2.800136
228	-2411.045	-2486.843	75.798	0.9905521	0.9894325	0.4890848	0.650379	0.349621	3.242093
234	-2400.359	-2476.64	76.28145	0.9467024	1.356076	0.4061933	0.667601	0.332399	2.872462
240	-2395.701	-2472.398	76.69647	0.9715817	1.062053	0.3170194	0.767542	0.232458	2.872462
246	-2398.883	-2475.52	76.63767	1.027307	0.7970316	0.622794	0.731269	0.268731	2.717688
252	-2395.388	-2473.064	77.67568	1.041845	0.6039688	0.3254091	0.725557	0.274443	2.54426
258	-2408.31	-2484.356	76.04611	1.07869	0.9629634	0.5484942	0.667197	0.332803	3.0009
264	-2410.551	-2488.94	78.38911	2.001594	1.039217	0.4675538	0.721477	0.278523	0.5081147
270	-2399.514	-2475.396	75.88123	1.094845	0.9070711	0.4493876	0.598871	0.401129	3.222473
276	-2400.109	-2476.652	76.54269	1.037416	0.9959795	0.3662297	0.642643	0.357357	2.900988
282	-2399.79	-2476.942	77.15194	1.041201	0.4872405	0.3492173	0.689699	0.310301	2.944813
288	-2400.584	-2477.982	77.39759	0.9925325	0.4872405	0.3492173	0.669687	0.330313	2.825669
294	-2401.768	-2477.755	75.98671	1.097405	1.12371	0.4899792	0.66721	0.33279	2.988338
300	-2399.58	-2476.406	76.82567	0.9100172	0.8972191	0.330097	0.687463	0.312537	2.915367
306	-2405.905	-2482.27	76.3653	1.098521	1.494788	0.4704887	0.594906	0.405094	2.591992
312	-2407.824	-2485.16	77.33623	0.9260523	0.6535342	0.3444524	0.730775	0.269225	2.756417
318	-2402.038	-2479.03	76.99194	1.136711	0.6535342	0.4110862	0.710599	0.289401	2.756417
324	-2396.982	-2473.59	76.60739	0.996726	0.6535342	0.4812037	0.676305	0.323695	2.997873
330	-2392.981	-2469.868	76.88639	1.122288	0.8643347	0.3768091	0.67515	0.32485	2.711832
336	-2401.242	-2477.785	76.54368	1.106791	0.9605517	0.500742	0.806829	0.193171	2.730232
342	-2404.988	-2481.954	76.96548	1.135428	0.6383099	0.48326	0.599295	0.400705	2.707248
348	-2400.054	-2477.126	77.07208	1.130006	0.978577	0.48326	0.650556	0.349444	2.394131
354	-2408.02	-2484.897	76.87668	1.130006	0.7897281	0.5205433	0.701209	0.298791	2.607524
360	-2407.337	-2483.907	76.5699	1.352399	1.13458	0.3690741	0.663031	0.336969	2.607524
366	-2401.909	-2478.485	76.57526	1.155932	1.121896	0.3099765	0.6425	0.3575	2.809837
372	-2405.911	-2483.005	77.09433	1.054332	0.7312124	0.3099765	0.598072	0.401928	2.809837
378	-2401.101	-2477.71	76.60912	1.094585	1.086138	0.3373235	0.483607	0.516393	2.809837
384	-2395.257	-2472.374	77.11692	1.029925	0.8607341	0.2745141	0.66863	0.33137	2.768565
390	-2397.492	-2474.188	76.69561	1.232206	1.112964	0.6862355	0.764768	0.235232	2.29366
